Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
22,Linha 1,Coluna 8,2848.3333333333335,2025-08-08T18:24:08Z,2025-08-10T17:52:28Z
17,Linha 2,Coluna 6,2838.6,2025-08-08T18:23:50Z,2025-08-10T17:42:26Z
11,Linha 2,Coluna 4,2838.5833333333335,2025-08-08T18:19:38Z,2025-08-10T17:38:13Z
24,Linha 3,Coluna 8,2838.55,2025-08-08T18:19:47Z,2025-08-10T17:38:20Z
4,Linha 1,Coluna 2,2838.5,2025-08-08T18:19:41Z,2025-08-10T17:38:11Z
18,Linha 3,Coluna 6,2838.4666666666667,2025-08-08T18:25:30Z,2025-08-10T17:43:58Z
6,Linha 3,Coluna 2,2838.4333333333334,2025-08-08T18:19:50Z,2025-08-10T17:38:16Z
28,Linha 1,Coluna 10,2838.366666666667,2025-08-08T18:20:51Z,2025-08-10T17:39:13Z
23,Linha 2,Coluna 8,2838.35,2025-08-08T18:23:41Z,2025-08-10T17:42:02Z
8,Linha 2,Coluna 3,2834.9666666666667,2025-08-08T18:24:00Z,2025-08-10T17:38:58Z
19,Linha 1,Coluna 7,2834.9333333333334,2025-08-08T18:24:15Z,2025-08-10T17:39:11Z
14,Linha 2,Coluna 5,2834.9166666666665,2025-08-08T18:24:07Z,2025-08-10T17:39:02Z
2,Linha 2,Coluna 1,2829.9666666666667,2025-08-08T18:24:48Z,2025-08-10T17:34:46Z
3,Linha 3,Coluna 1,2829.9666666666667,2025-08-08T18:26:19Z,2025-08-10T17:36:17Z
7,Linha 1,Coluna 3,2829.9666666666667,2025-08-08T18:25:25Z,2025-08-10T17:35:23Z
9,Linha 3,Coluna 3,2829.9666666666667,2025-08-08T18:24:34Z,2025-08-10T17:34:32Z
1,Linha 1,Coluna 1,2829.95,2025-08-08T18:27:46Z,2025-08-10T17:37:43Z
13,Linha 1,Coluna 5,2829.95,2025-08-08T18:26:05Z,2025-08-10T17:36:02Z
20,Linha 2,Coluna 7,2829.95,2025-08-08T18:26:40Z,2025-08-10T17:36:37Z
25,Linha 1,Coluna 9,2829.95,2025-08-08T18:27:07Z,2025-08-10T17:37:04Z
27,Linha 3,Coluna 9,2829.95,2025-08-08T18:25:05Z,2025-08-10T17:35:02Z
21,Linha 3,Coluna 7,2829.9333333333334,2025-08-08T18:26:36Z,2025-08-10T17:36:32Z
26,Linha 2,Coluna 9,2829.9333333333334,2025-08-08T18:27:15Z,2025-08-10T17:37:11Z
15,Linha 3,Coluna 5,2829.9166666666665,2025-08-08T18:25:27Z,2025-08-10T17:35:22Z
29,Linha 2,Coluna 10,2828.6833333333334,2025-08-08T18:26:00Z,2025-08-10T17:34:41Z
5,Linha 2,Coluna 2,2828.55,2025-08-08T18:26:01Z,2025-08-10T17:34:34Z
30,Linha 3,Coluna 10,2828.516666666667,2025-08-08T18:26:18Z,2025-08-10T17:34:49Z
10,Linha 1,Coluna 4,2828.4666666666667,2025-08-08T18:27:15Z,2025-08-10T17:35:43Z
16,Linha 1,Coluna 6,2828.45,2025-08-08T18:26:30Z,2025-08-10T17:34:57Z
12,Linha 3,Coluna 4,2828.3333333333335,2025-08-08T18:28:33Z,2025-08-10T17:36:53Z
